constructorResultsId,raceId,constructorId,points,status
1,18,1,14,\N
2,18,2,8,\N
3,18,3,9,\N
4,18,4,5,\N
5,18,5,2,\N
6,18,6,1,\N
7,18,7,0,\N
8,18,8,0,\N
9,18,9,0,\N
10,18,10,0,\N
11,18,11,0,\N
12,19,6,10,\N
13,19,2,11,\N
14,19,1,10,\N
15,19,7,5,\N
16,19,9,2,\N
17,19,4,1,\N
18,19,11,0,\N
19,19,10,0,\N
20,19,3,0,\N
21,19,8,0,\N
22,19,5,0,\N
23,20,6,18,\N
24,20,2,11,\N
25,20,1,4,\N
26,20,7,3,\N
27,20,9,2,\N
28,20,3,1,\N
29,20,4,0,\N
30,20,11,0,\N
31,20,10,0,\N
32,20,5,0,\N
33,20,8,0,\N
34,21,6,18,\N
35,21,1,6,\N
36,21,2,5,\N
37,21,9,4,\N
38,21,11,3,\N
39,21,3,2,\N
40,21,7,1,\N
41,21,10,0,\N
42,21,8,0,\N
43,21,4,0,\N
44,21,5,0,\N
45,22,6,16,\N
46,22,1,8,\N
47,22,2,9,\N
48,22,4,3,\N
49,22,9,2,\N
50,22,3,1,\N
51,22,7,0,\N
52,22,11,0,\N
53,22,10,0,\N
54,22,5,0,\N
55,23,1,11,\N
56,23,2,8,\N
57,23,6,6,\N
58,23,9,5,\N
59,23,5,4,\N
60,23,11,3,\N
61,23,3,2,\N
62,23,4,0,\N
63,23,7,0,\N
64,23,10,0,\N
65,24,2,18,\N
66,24,9,6,\N
67,24,7,8,\N
68,24,6,4,\N
69,24,11,2,\N
70,24,5,1,\N
71,24,1,0,\N
72,24,3,0,\N
73,24,10,0,\N
74,24,4,0,\N
75,25,6,18,\N
76,25,7,6,\N
77,25,1,5,\N
78,25,2,4,\N
79,25,9,3,\N
80,25,4,3,\N
81,25,5,0,\N
82,25,11,0,\N
83,25,3,0,\N
84,25,10,0,\N
85,26,1,14,\N
86,26,2,8,\N
87,26,11,6,\N
88,26,6,5,\N
89,26,4,3,\N
90,26,7,2,\N
91,26,3,1,\N
92,26,9,0,\N
93,26,5,0,\N
94,26,10,0,\N
95,27,1,14,\N
96,27,4,8,\N
97,27,6,9,\N
98,27,2,7,\N
99,27,5,1,\N
100,27,7,0,\N
101,27,3,0,\N
102,27,9,0,\N
103,27,10,0,\N
104,27,11,0,\N
105,28,1,14,\N
106,28,7,10,\N
107,28,6,6,\N
108,28,4,8,\N
109,28,2,1,\N
110,28,9,0,\N
111,28,11,0,\N
112,28,3,0,\N
113,28,10,0,\N
114,28,5,0,\N
115,29,6,10,\N
116,29,1,13,\N
117,29,2,6,\N
118,29,7,6,\N
119,29,5,3,\N
120,29,3,1,\N
121,29,4,0,\N
122,29,9,0,\N
123,29,11,0,\N
124,29,10,0,\N
125,30,6,10,\N
126,30,2,11,\N
127,30,1,6,\N
128,30,4,5,\N
129,30,5,6,\N
130,30,9,1,\N
131,30,7,0,\N
132,30,3,0,\N
133,30,10,0,\N
134,30,11,0,\N
135,31,5,10,\N
136,31,1,10,\N
137,31,2,10,\N
138,31,4,5,\N
139,31,6,3,\N
140,31,9,1,\N
141,31,7,0,\N
142,31,3,0,\N
143,31,11,0,\N
144,31,10,0,\N
145,32,4,10,\N
146,32,3,9,\N
147,32,1,6,\N
148,32,7,5,\N
149,32,5,4,\N
150,32,2,3,\N
151,32,9,2,\N
152,32,11,0,\N
153,32,6,0,\N
154,32,10,0,\N
155,33,4,15,\N
156,33,2,8,\N
157,33,6,8,\N
158,33,7,4,\N
159,33,5,3,\N
160,33,9,1,\N
161,33,3,0,\N
162,33,1,0,\N
163,33,11,0,\N
164,33,10,0,\N
165,34,1,10,\N
166,34,6,14,\N
167,34,4,6,\N
168,34,2,7,\N
169,34,7,2,\N
170,34,5,0,\N
171,34,9,0,\N
172,34,11,0,\N
173,34,3,0,\N
174,34,10,0,\N
175,35,6,16,\N
176,35,4,8,\N
177,35,5,5,\N
178,35,1,6,\N
179,35,7,4,\N
180,35,9,0,\N
181,35,2,0,\N
182,35,3,0,\N
183,35,11,0,\N
184,35,10,0,\N
185,36,6,13,\N
186,36,1,14,D
187,36,2,5,\N
188,36,4,4,\N
189,36,3,2,\N
190,36,7,1,\N
191,36,11,0,\N
192,36,8,0,\N
193,36,9,0,\N
194,36,5,0,\N
195,36,12,0,\N
196,37,1,18,D
197,37,6,10,\N
198,37,2,5,\N
199,37,4,4,\N
200,37,7,2,\N
201,37,3,0,\N
202,37,9,0,\N
203,37,11,0,\N
204,37,8,0,\N
205,37,5,0,\N
206,37,12,0,\N
207,38,6,16,\N
208,38,1,12,D
209,38,2,8,\N
210,38,7,2,\N
211,38,4,1,\N
212,38,3,0,\N
213,38,11,0,\N
214,38,12,0,\N
215,38,8,0,\N
216,38,9,0,\N
217,38,5,0,\N
218,39,6,10,\N
219,39,1,14,D
220,39,2,5,\N
221,39,9,4,\N
222,39,3,3,\N
223,39,4,2,\N
224,39,8,1,\N
225,39,11,0,\N
226,39,12,0,\N
227,39,7,0,\N
228,39,5,0,\N
229,40,1,18,D
230,40,6,7,\N
231,40,4,5,\N
232,40,2,7,\N
